activity_start_end,activity_type,start,end,duration,description
Project_2023-06-29T13:12:29Z_2023-06-29T14:53:27Z,Project,2023-06-29T13:12:29Z,2023-06-29T14:53:27Z,1.68,null
Project_2023-06-29T19:15:08Z_2023-06-29T20:45:31Z,Project,2023-06-29T19:15:08Z,2023-06-29T20:45:31Z,1.51,null
Project_2023-06-30T08:25:22Z_2023-06-30T10:02:45Z,Project,2023-06-30T08:25:22Z,2023-06-30T10:02:45Z,1.62,null
Project_2023-06-30T14:33:03Z_2023-06-30T15:02:36Z,Project,2023-06-30T14:33:03Z,2023-06-30T15:02:36Z,0.49,null
Project_2023-07-02T20:16:04Z_2023-07-02T21:11:24Z,Project,2023-07-02T20:16:04Z,2023-07-02T21:11:24Z,0.92,null
Project_2023-07-03T06:47:44Z_2023-07-03T07:33:26Z,Project,2023-07-03T06:47:44Z,2023-07-03T07:33:26Z,0.76,null
Project_2023-07-05T19:22:47Z_2023-07-05T19:57:39Z,Project,2023-07-05T19:22:47Z,2023-07-05T19:57:39Z,0.58,null
Project_2023-07-06T14:14:47Z_2023-07-06T14:31:15Z,Project,2023-07-06T14:14:47Z,2023-07-06T14:31:15Z,0.27,null
Blogging_2023-07-07T13:13:12Z_2023-07-07T14:18:47Z,Blogging,2023-07-07T13:13:12Z,2023-07-07T14:18:47Z,1.09,null
Project_2023-07-09T18:31:07Z_2023-07-09T20:50:30Z,Project,2023-07-09T18:31:07Z,2023-07-09T20:50:30Z,2.32,null
Study_2023-07-10T11:32:44Z_2023-07-10T11:59:09Z,Study,2023-07-10T11:32:44Z,2023-07-10T11:59:09Z,0.44,Arithmetic Logic Unit
Study_2023-07-10T12:09:22Z_2023-07-10T12:34:23Z,Study,2023-07-10T12:09:22Z,2023-07-10T12:34:23Z,0.42,Programming Throwdown podcast: origins of the internet
Project_2023-07-10T18:49:14Z_2023-07-10T20:23:14Z,Project,2023-07-10T18:49:14Z,2023-07-10T20:23:14Z,1.57,null
Study_2023-07-11T06:57:24Z_2023-07-11T07:35:54Z,Study,2023-07-11T06:57:24Z,2023-07-11T07:35:54Z,0.64,revise notes on computer architecture
Study_2023-07-11T07:35:57Z_2023-07-11T08:00:00Z,Study,2023-07-11T07:35:57Z,2023-07-11T08:00:00Z,0.4,further notes on ALU
Project_2023-07-11T14:23:56Z_2023-07-11T14:38:18Z,Project,2023-07-11T14:23:56Z,2023-07-11T14:38:18Z,0.24,code metrics website integration
Project_2023-07-11T18:55:35Z_2023-07-11T19:37:36Z,Project,2023-07-11T18:55:35Z,2023-07-11T19:37:36Z,0.7,pocket api lambda
Study_2023-07-12T06:51:09Z_2023-07-12T07:45:00Z,Study,2023-07-12T06:51:09Z,2023-07-12T07:45:00Z,0.9,ALU
Project_2023-07-13T06:56:35Z_2023-07-13T08:00:00Z,Project,2023-07-13T06:56:35Z,2023-07-13T08:00:00Z,1.06,pocket api lambda
Project_2023-07-13T13:55:22Z_2023-07-13T16:05:53Z,Project,2023-07-13T13:55:22Z,2023-07-13T16:05:53Z,2.18,pocket api lambda
Project_2023-07-13T20:09:56Z_2023-07-13T20:45:56Z,Project,2023-07-13T20:09:56Z,2023-07-13T20:45:56Z,0.6,pocket api lambda
Project_2023-07-14T14:07:58Z_2023-07-14T16:00:00Z,Project,2023-07-14T14:07:58Z,2023-07-14T16:00:00Z,1.87,pocket api lambda
Project_2023-07-14T20:23:44Z_2023-07-14T21:15:31Z,Project,2023-07-14T20:23:44Z,2023-07-14T21:15:31Z,0.86,pocket api lambda
Study_2023-07-15T10:19:40Z_2023-07-15T11:44:35Z,Study,2023-07-15T10:19:40Z,2023-07-15T11:44:35Z,1.42,memory
Project_2023-07-15T11:44:39Z_2023-07-15T12:44:27Z,Project,2023-07-15T11:44:39Z,2023-07-15T12:44:27Z,1.0,pocket api lambda
Project_2023-07-15T12:47:46Z_2023-07-15T13:45:00Z,Project,2023-07-15T12:47:46Z,2023-07-15T13:45:00Z,0.95,code metrics website integration
Project_2023-07-15T17:51:09Z_2023-07-15T18:27:20Z,Project,2023-07-15T17:51:09Z,2023-07-15T18:27:20Z,0.6,pocket api lambda
Project_2023-07-16T10:56:44Z_2023-07-16T12:52:31Z,Project,2023-07-16T10:56:44Z,2023-07-16T12:52:31Z,1.93,meridian
Project_2023-07-16T20:26:03Z_2023-07-16T21:25:33Z,Project,2023-07-16T20:26:03Z,2023-07-16T21:25:33Z,0.99,pocket api lambda
Project_2023-07-17T19:17:16Z_2023-07-17T19:55:42Z,Project,2023-07-17T19:17:16Z,2023-07-17T19:55:42Z,0.64,pocket api lambda
Study_2023-07-18T10:06:56Z_2023-07-18T10:22:58Z,Study,2023-07-18T10:06:56Z,2023-07-18T10:22:58Z,0.27,python exercises
